Chart.js,31,576
Leaflet,49,2509
arbor,11,471
cesium,1516,26801
chartist-js,8,346
d3,1543,3260
dc.js,113,5887
echarts,544,6807
envisionjs,236,6510
kartograph.js,16,451
modestmaps-js,42,1448
peity,8,66
raw,5,503
recline,188,5300
sigma.js,70,804
vega,71,1544
Babylon.js,322,13358
Crafty,25,978
PhysicsJS,69,2497
cocos2d-html5,283,8469
cutjs,142,3079
engine,65,3255
kiwi.js,40,4294
lycheeJS,89,2466
melonJS,53,2925
phaser,984,33529
pixi.js,22,1514
angular.js,1276,11739
backbone,76,1864
brick,41,819
ember.js,214,3087
knockout,225,2527
polymer,212,885
spine,88,1778
2048,5,92
BrowserQuest,209,2442
adarkroom,11,551
clumsy-bird,24,872
hextris,2,122
untrusted,186,3493
Inquirer.js,89,427
UglifyJS2,36,765
async,308,786
aws-sdk-js,614,3412
backbone,76,1864
bluebird,2294,9546
body-parser,8,287
chalk,0,34
cheerio,35,1306
clean-css,57,447
cli-color,7,40
coffeescript,44,1226
colors.js,2,60
commander.js,6,60
concat-stream,2,44
connect,20,118
debug,5,54
ejs,12,145
escodegen,216,6611
express,294,1868
generator,154,850
grunt,41,367
gulp-util,36,67
gulp,33,82
hiredis-node,2,35
iconv-lite,20,277
inherits,0,6
jade,106,795
jquery,162,3151
js-yaml,92,1424
jsdom,187,7709
less.js,191,1551
lodash,290,6814
log4js-node,97,855
marked,3,59
minimatch,3,73
minimist,0,68
mocha,139,1392
moment,438,3927
mustache.js,10,120
nconf,32,194
ncp,26,55
node-browserify,41,495
node-extend,0,33
node-fs-extra,110,186
node-glob,33,182
node-graceful-fs,15,56
node-http-proxy,35,271
node-mime,0,9
node-mkdirp,4,64
node-mysql,175,798
node-oauth,47,281
node-open,3,8
node-optimist,6,113
node-semver,0,193
node-uuid,1,24
node-xml2js,1,38
node_redis,33,492
nomnom,2,108
nopt,0,29
npm,330,1718
promise,45,145
prompt,29,116
q,103,1296
r.js,583,5687
react,117,2590
readable-stream,153,684
request,25,665
rimraf,7,16
shelljs,13,89
should.js,79,568
socket.io-client,90,458
socket.io,89,358
stylus,33,757
superagent,190,594
through,8,44
through2,19,43
underscore.string,39,1227
validator.js,1,126
winston,58,427
wrench-js,11,53
ws,235,821
xtend,0,9
yargs,11,278
yosay,0,15
KiwiIRC,96,1551
NodeBB,1290,4431
browsenpm.org,8,31
david-www,55,455
iloveopensource,149,554
keystone,486,5856
live4chan,76,912
mash.li,41,300
mediacenterjs,87,570
newww,494,1729
npm-www,99,1816
open-marriage,57,130
pencilblue,616,1056
shields,80,154
slate,1,68
strider,928,11991