Inquirer.js,278,1707
UglifyJS2,740,3194
async,623,2210
aws-sdk-js,907,12613
backbone,1029,6248
bluebird,6846,27874
body-parser,278,1372
chalk,44,103
cheerio,883,6386
clean-css,395,1819
cli-color,26,305
coffeescript,519,4413
colors.js,88,263
commander.js,30,432
concat-stream,66,230
connect,138,423
debug,15,166
ejs,93,486
escodegen,1606,18224
express,2050,7102
generator,1103,3306
grunt,228,2038
gulp-util,115,493
gulp,137,435
hiredis-node,61,163
iconv-lite,365,1380
inherits,3,18
jade,585,4107
jquery,3914,18418
js-yaml,519,5730
jsdom,12876,42676
less.js,410,4831
lodash,9767,24544
log4js-node,744,2583
marked,7,346
minimatch,25,237
minimist,47,403
mocha,1142,3932
moment,365,55326
mustache.js,96,256
nconf,251,887
ncp,114,217
node-browserify,633,2536
node-extend,30,191
node-fs-extra,593,1340
node-glob,219,721
node-graceful-fs,47,171
node-http-proxy,373,1276
node-mime,12,106
node-mkdirp,82,415
node-mysql,1410,3646
node-oauth,271,638
node-open,15,32
node-optimist,91,558
node-semver,48,476
node-uuid,26,198
node-xml2js,5,108
node_redis,772,2403
nomnom,19,381
nopt,14,175
npm,2421,8673
promise,107,330
prompt,172,484
q,558,3115
qs,72,615
r.js,4461,21271
react,768,6674
readable-stream,912,2768
request,657,2566
rimraf,41,88
shelljs,850,2490
should.js,540,1750
socket.io-client,213,1663
socket.io,351,1482
stylus,224,2490
superagent,502,2318
through,80,188
through2,89,264
underscore.string,639,5653
validator.js,86,351
winston,447,1481
wrench-js,132,430
ws,1053,2686
xtend,23,37
yargs,217,1471
yosay,16,74