Inquirer.js,269,1707,192
UglifyJS2,709,3194,308
async,576,2210,284
aws-sdk-js,860,12613,333
backbone,989,6248,676
bluebird,6605,27874,3396
body-parser,278,1372,240
chalk,44,103,25
cheerio,834,6386,730
clean-css,381,1819,13
cli-color,23,305,15
coffeescript,497,4413,230
colors.js,83,263,12
commander.js,27,432,1
concat-stream,66,230,33
connect,138,423,110
debug,15,166,0
ejs,89,486,62
escodegen,1487,18224,409
express,2023,7102,1754
generator,1096,3306,565
grunt,213,2038,71
gulp-util,114,493,74
gulp,137,435,52
hiredis-node,61,163,25
iconv-lite,352,1380,95
inherits,3,18,0
jade,565,4107,178
jquery,3848,18418,1256
js-yaml,482,5730,101
jsdom,12770,42676,501
less.js,378,4831,77
lodash,9263,24544,2431
log4js-node,719,2583,36
marked,7,346,6
minimatch,13,237,8
minimist,45,403,44
mocha,1108,3932,798
moment,364,55326,95
mustache.js,94,256,55
nconf,241,887,16
ncp,113,217,53
node-browserify,617,2536,323
node-extend,30,191,30
node-fs-extra,592,1340,185
node-glob,203,721,101
node-graceful-fs,47,171,11
node-http-proxy,367,1276,157
node-mime,11,106,0
node-mkdirp,82,415,45
node-mysql,1401,3646,435
node-oauth,271,638,47
node-open,15,32,8
node-optimist,82,558,64
node-semver,38,476,33
node-uuid,26,198,8
node-xml2js,5,108,0
node_redis,760,2403,208
nomnom,14,381,7
nopt,12,175,5
npm,2297,8673,974
promise,106,330,90
prompt,166,484,26
q,556,3115,439
qs,72,615,70
r.js,4352,21271,1813
react,691,6674,373
readable-stream,908,2768,202
request,646,2566,439
rimraf,39,88,8
shelljs,837,2490,9
should.js,505,1750,311
socket.io-client,211,1663,126
socket.io,350,1482,328
stylus,205,2490,24
superagent,499,2318,411
through,79,188,26
through2,89,264,50
underscore.string,566,5653,345
validator.js,86,351,65
winston,434,1481,51
wrench-js,127,430,3
ws,1053,2686,667
xtend,23,37,7
yargs,196,1471,167
yosay,16,74,9